time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,label
1.72986E+12,2:19:00 PM,1758579.469,220094.6875,7014.515625,16872415232,5548158976,67.1,normal
1.72986E+12,2:19:01 PM,1758585.781,220096.2969,7014.515625,16872415232,5517402112,67.3,normal
1.72986E+12,2:19:02 PM,1758593.531,220096.5469,7014.515625,16872415232,5517787136,67.3,normal
1.72986E+12,2:19:03 PM,1758601.297,220096.7344,7014.515625,16872415232,5518204928,67.3,normal
1.72986E+12,2:19:04 PM,1758609.219,220096.8594,7014.515625,16872415232,5501456384,67.4,normal
1.72986E+12,2:19:05 PM,1758616.391,220097.3281,7014.546875,16872415232,5518557184,67.3,normal
1.72986E+12,2:19:06 PM,1758623.828,220097.75,7014.578125,16872415232,5562155008,67,normal
1.72986E+12,2:19:07 PM,1758631.625,220097.9375,7014.578125,16872415232,5563887616,67,normal
1.72986E+12,2:19:08 PM,1758639.516,220097.9688,7014.59375,16872415232,5563805696,67,normal
1.72986E+12,2:19:09 PM,1758647.422,220098.0313,7014.59375,16872415232,5577150464,66.9,normal
1.72986E+12,2:19:10 PM,1758655.359,220098.2031,7014.59375,16872415232,5613150208,66.7,normal
1.72986E+12,2:19:11 PM,1758663.203,220098.375,7014.609375,16872415232,5613273088,66.7,normal
1.72986E+12,2:19:12 PM,1758671.031,220098.4531,7014.625,16872415232,5608349696,66.8,normal
1.72986E+12,2:19:13 PM,1758678.734,220098.8594,7014.625,16872415232,5624086528,66.7,normal
1.72986E+12,2:19:14 PM,1758685.594,220099.875,7014.640625,16872415232,5625925632,66.7,normal
1.72986E+12,2:19:15 PM,1758693.516,220099.9688,7014.65625,16872415232,5626720256,66.7,normal
1.72986E+12,2:19:16 PM,1758701.328,220100.0625,7014.65625,16872415232,5631905792,66.6,normal
1.72986E+12,2:19:17 PM,1758709.391,220100.1094,7014.65625,16872415232,5632131072,66.6,normal
1.72986E+12,2:19:18 PM,1758717.047,220100.3125,7014.65625,16872415232,5628620800,66.6,normal
1.72986E+12,2:19:19 PM,1758725.031,220100.4063,7014.65625,16872415232,5629267968,66.6,normal
