total,available,used,free
15.491523742675781,11.442245483398438,2.8901405334472656,5.019706726074219
15.491523742675781,11.438484191894531,2.893901824951172,5.0159454345703125
15.491523742675781,11.444896697998047,2.8874893188476562,5.022357940673828
15.491523742675781,11.443523406982422,2.8888626098632812,5.020984649658203
15.491523742675781,11.442344665527344,2.8900413513183594,5.019805908203125
15.491523742675781,11.438549041748047,2.8932228088378906,5.016010284423828
15.491523742675781,11.441619873046875,2.890155792236328,5.019073486328125
15.491523742675781,11.44076156616211,2.8910140991210938,5.018215179443359
15.491523742675781,11.447349548339844,2.8850364685058594,5.024803161621094
15.491523742675781,11.44708251953125,2.885303497314453,5.0245361328125
15.491523742675781,11.44326400756836,2.889118194580078,5.020717620849609
15.491523742675781,11.439582824707031,2.892803192138672,5.01702880859375
15.491523742675781,11.434295654296875,2.898090362548828,5.011741638183594
15.491523742675781,11.436614990234375,2.895771026611328,5.014060974121094
15.491523742675781,11.434806823730469,2.8975791931152344,5.0122528076171875
15.491523742675781,11.435405731201172,2.8963623046875,5.012851715087891
15.491523742675781,11.440940856933594,2.8908348083496094,5.018379211425781
15.491523742675781,11.435916900634766,2.8958587646484375,5.013355255126953
15.491523742675781,11.44061279296875,2.891773223876953,5.0180511474609375
15.491523742675781,11.441173553466797,2.8912124633789062,5.018611907958984
